date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
22/08/2020,utla,E10000018,Leicestershire,16,0
21/08/2020,utla,E10000018,Leicestershire,5,0
20/08/2020,utla,E10000018,Leicestershire,14,0
19/08/2020,utla,E10000018,Leicestershire,3,0
18/08/2020,utla,E10000018,Leicestershire,6,0
17/08/2020,utla,E10000018,Leicestershire,11,0
16/08/2020,utla,E10000018,Leicestershire,13,0
15/08/2020,utla,E10000018,Leicestershire,14,0
14/08/2020,utla,E10000018,Leicestershire,29,0
13/08/2020,utla,E10000018,Leicestershire,0,0
12/08/2020,utla,E10000018,Leicestershire,9,0
11/08/2020,utla,E10000018,Leicestershire,9,0
10/08/2020,utla,E10000018,Leicestershire,7,0
09/08/2020,utla,E10000018,Leicestershire,9,0
08/08/2020,utla,E10000018,Leicestershire,7,0
07/08/2020,utla,E10000018,Leicestershire,7,0
06/08/2020,utla,E10000018,Leicestershire,7,0
05/08/2020,utla,E10000018,Leicestershire,7,0
04/08/2020,utla,E10000018,Leicestershire,15,0
03/08/2020,utla,E10000018,Leicestershire,18,0
31/08/2020,utla,E06000007,Warrington,3,0
02/08/2020,utla,E10000018,Leicestershire,13,0
30/08/2020,utla,E06000007,Warrington,5,1
29/08/2020,utla,E06000007,Warrington,5,0
01/08/2020,utla,E10000018,Leicestershire,17,0
04/02/2021,utla,E08000014,Sefton,131,12
28/08/2020,utla,E06000007,Warrington,1,0
27/08/2020,utla,E06000007,Warrington,4,0
26/08/2020,utla,E06000007,Warrington,3,0
05/01/2021,utla,E06000051,Shropshire,237,0
31/07/2020,utla,E10000018,Leicestershire,19,0
30/07/2020,utla,E10000018,Leicestershire,5,0
29/07/2020,utla,E10000018,Leicestershire,9,0
28/07/2020,utla,E10000018,Leicestershire,4,0
27/07/2020,utla,E10000018,Leicestershire,12,0
26/07/2020,utla,E10000018,Leicestershire,13,0
25/07/2020,utla,E10000018,Leicestershire,7,0
24/07/2020,utla,E10000018,Leicestershire,14,0
25/08/2020,utla,E06000007,Warrington,1,1
03/02/2021,utla,E08000014,Sefton,96,7
04/01/2021,utla,E06000051,Shropshire,240,1
23/07/2020,utla,E10000018,Leicestershire,15,0
22/07/2020,utla,E10000018,Leicestershire,7,0
21/07/2020,utla,E10000018,Leicestershire,3,0
20/07/2020,utla,E10000018,Leicestershire,13,0
19/07/2020,utla,E10000018,Leicestershire,24,0
03/01/2021,utla,E06000051,Shropshire,144,2
02/01/2021,utla,E06000051,Shropshire,187,3
01/01/2021,utla,E06000051,Shropshire,70,3
31/12/2020,utla,E06000051,Shropshire,193,1
30/12/2020,utla,E06000051,Shropshire,111,2
29/12/2020,utla,E06000051,Shropshire,116,2
28/12/2020,utla,E06000051,Shropshire,59,1
02/02/2021,utla,E08000014,Sefton,105,13
01/02/2021,utla,E08000014,Sefton,111,2
27/12/2020,utla,E06000051,Shropshire,27,3
26/12/2020,utla,E06000051,Shropshire,81,0
25/12/2020,utla,E06000051,Shropshire,35,3
24/08/2020,utla,E06000007,Warrington,0,0
18/07/2020,utla,E10000018,Leicestershire,22,0
24/12/2020,utla,E06000051,Shropshire,53,2
23/08/2020,utla,E06000007,Warrington,3,0
23/12/2020,utla,E06000051,Shropshire,61,2
22/08/2020,utla,E06000007,Warrington,2,0
31/01/2021,utla,E08000014,Sefton,142,16
17/07/2020,utla,E10000018,Leicestershire,7,0
21/08/2020,utla,E06000007,Warrington,0,0
20/08/2020,utla,E06000007,Warrington,1,0
30/01/2021,utla,E08000014,Sefton,133,7
29/01/2021,utla,E08000014,Sefton,151,3
19/08/2020,utla,E06000007,Warrington,2,0
18/08/2020,utla,E06000007,Warrington,0,0
17/08/2020,utla,E06000007,Warrington,3,0
16/07/2020,utla,E10000018,Leicestershire,10,0
16/08/2020,utla,E06000007,Warrington,3,0
22/12/2020,utla,E06000051,Shropshire,59,3
28/01/2021,utla,E08000014,Sefton,165,5
15/07/2020,utla,E10000018,Leicestershire,4,0
14/07/2020,utla,E10000018,Leicestershire,5,0
13/07/2020,utla,E10000018,Leicestershire,13,0
21/12/2020,utla,E06000051,Shropshire,27,0
12/07/2020,utla,E10000018,Leicestershire,10,0
11/07/2020,utla,E10000018,Leicestershire,26,0
10/07/2020,utla,E10000018,Leicestershire,5,0
