stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1407652,1407652/1,M,Yes,BSCFCPERF,FT,P41,21,6,L6,280,41.5,48.85,0,96
1407654,1407654/1,F,No,BAAAH,FT,X06,20,4,L6,390,65.75,67.53,0,0
1407657,1407657/1,M,No,BAAAH,FT,P50,24,3,L6,180,54.5,58.23,0,0
1407680,1407680/1,F,No,BSCPSYCH,FT,P50,21,2,L6,240,67.38,69.18,0,0
1407684,1407684/1,F,No,BAAAH,FT,P50,21,1,L6,240,56.63,60.28,0,18
1407686,1407686/1,M,No,BABM,FT,P41,22,1,L6,180,53.75,54.75,0,0
1407751,1407751/1,F,No,BASPDEVCO,FT,P50,25,2,L6,270,63.75,62.38,0,1
1407752,1407752/1,M,No,BASPBUSMAN,FT,Q80,23,2,L6,,52.63,56.2,0,1
1407759,1407759/1,F,No,BAAAH,FT,X01,54,1,L6,,70.5,70.68,0,0
1407808,1407808/1,F,No,BABM,FT,Q80,22,9,L6,,59.88,55.53,0,12
1407822,1407822/1,F,No,BABM,FT,P50,22,6,L6,370,54.25,52.68,2,15
1407864,1407864/1,F,No,BAAAH,FT,,57,,L6,,56.13,58.75,0,2
1407902,1407902/1,M,No,BASPBUSMAN,FT,P42,21,1,L6,240,51.75,55.88,0,0
1407924,1407924/1,M,Yes,BAAAH,FT,MUK,23,,L6,280,59.25,66.4,0,7
1407941,1407941/1,M,No,BABM,FT,P50,38,,L6,160,65.38,75.98,0,0
1408130,1408130/1,M,Yes,BAMUPRO,FT,,23,,L6,,48.75,59.8,0,0
